Time	Heading-Velocity	Acceleration-1	Acceleration-2	Acceleration-3	Compass-1	Compass-2	Compass-3	Gyro-1	Gyro-2	Gyro-3
1627584721.88	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584724.56	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584728.02	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584732.19	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584735.07	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584738.75	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584742.58	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584746.83	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.23	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.25	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.27	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.29	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.31	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.33	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.35	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.37	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.39	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.41	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.43	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.45	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.47	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.49	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.51	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.53	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.55	0.015813	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.57	0.015813	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.59	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.61	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.63	0.017029	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.65	0.017029	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.67	0.0	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.69	0.017029	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.71	0.017029	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.73	0.017029	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.75	0.015813	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.77	0.032797	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.79	0.032797	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.81	0.027672	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.83	0.017029	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.85	0.032797	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.87	0.032797	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.89	0.047438	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.91	0.034058	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.93	0.034058	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.95	0.05713	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.97	0.051087	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584747.99	0.065593	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584748.01	0.065593	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584748.03	0.068116	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584748.05	0.051087	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584748.07	0.081992	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584748.09	0.081992	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584748.11	0.085145	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584748.13	0.085145	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
1627584748.15	0.09839	-32760.0	-19270.0	-32760.0	1851.0	-1037.0	-2317.0	0.0	4.0	-108.0
