Time	Heading_Velocity	Acceleration_1	Acceleration_2	Acceleration_3	Compass_1	Compass_2	Compass_3	Gyro_1	Gyro_2	Gyro_3
1627951062.02	0.0	235.0	-225.0	-14396.0	2608.0	-328.0	2683.0	0.0	35.0	-27.0
1627951062.74	0.0	232.0	-220.0	-14392.0	2606.0	-330.0	2689.0	0.0	27.0	-47.0
1627951063.98	0.0	227.0	-178.0	-14291.0	2600.0	-336.0	2684.0	0.0	47.0	-52.0
1627951064.6	0.0	229.0	-222.0	-14400.0	2605.0	-329.0	2686.0	0.0	39.0	-36.0
1627951065.67	0.0	224.0	-223.0	-14396.0	2589.0	-317.0	2689.0	0.0	23.0	-34.0
1627951066.3	0.0	266.0	-151.0	-14366.0	2631.0	-348.0	2632.0	0.0	39.0	-50.0
1627951067.19	0.0	230.0	-197.0	-14470.0	2607.0	-326.0	2678.0	0.0	24.0	-44.0
1627951068.26	0.0	239.0	-216.0	-14386.0	2609.0	-323.0	2677.0	0.0	21.0	-36.0
1627951069.01	0.0	243.0	-223.0	-14412.0	2615.0	-317.0	2685.0	0.0	23.0	-32.0
1627951069.56	0.0	252.0	-219.0	-14372.0	2617.0	-329.0	2690.0	0.0	11.0	-24.0
1627951070.3	0.0	241.0	-185.0	-14399.0	2602.0	-329.0	2674.0	0.0	28.0	-36.0
1627951071.04	0.0	231.0	-209.0	-14390.0	2607.0	-325.0	2670.0	0.0	32.0	-42.0
1627951071.99	0.0	209.0	-193.0	-14395.0	2612.0	-331.0	2676.0	0.0	22.0	-35.0
1627951073.21	0.0	233.0	-207.0	-14332.0	2601.0	-324.0	2681.0	0.0	15.0	-53.0
1627951073.87	0.0	254.0	-196.0	-14394.0	2612.0	-328.0	2675.0	0.0	13.0	-54.0
1627951074.7	0.0	201.0	-186.0	-14373.0	2610.0	-326.0	2680.0	0.0	16.0	-34.0
1627951075.3	0.0	203.0	-218.0	-14353.0	2608.0	-332.0	2665.0	0.0	32.0	-34.0
1627951076.28	0.0	239.0	-197.0	-14388.0	2601.0	-340.0	2664.0	0.0	23.0	-43.0
1627951077.1	0.0	216.0	-208.0	-14394.0	2596.0	-315.0	2684.0	0.0	38.0	-40.0
1627951078.2	0.0	214.0	-217.0	-14411.0	2600.0	-313.0	2686.0	0.0	37.0	-29.0
1627951078.8	0.0	201.0	-215.0	-14370.0	2597.0	-311.0	2699.0	0.0	28.0	-44.0
1627951079.56	0.0	223.0	-228.0	-14388.0	2600.0	-334.0	2650.0	0.0	37.0	-36.0
1627951080.88	0.0	214.0	-199.0	-14343.0	2608.0	-323.0	2693.0	0.0	32.0	-49.0
1627951083.55	0.0	210.0	-217.0	-14427.0	2617.0	-318.0	2684.0	0.0	33.0	-47.0
1627951084.5	0.0	237.0	-195.0	-14423.0	2616.0	-321.0	2674.0	0.0	24.0	-43.0
1627951085.36	0.0	216.0	-193.0	-14353.0	2622.0	-335.0	2651.0	0.0	23.0	-40.0
1627951086.24	0.0	250.0	-199.0	-14377.0	2613.0	-326.0	2674.0	0.0	38.0	-45.0
1627951087.17	0.0	201.0	-203.0	-14386.0	2620.0	-329.0	2669.0	0.0	28.0	-28.0
1627951087.77	0.0	240.0	-207.0	-14338.0	2617.0	-320.0	2674.0	0.0	29.0	-50.0
1627951088.82	0.0	232.0	-227.0	-14376.0	2616.0	-321.0	2666.0	0.0	32.0	-41.0
1627951090.01	0.0	187.0	-213.0	-14362.0	2617.0	-320.0	2684.0	0.0	29.0	-31.0
1627951090.53	0.0	213.0	-182.0	-14385.0	2622.0	-338.0	2665.0	0.0	33.0	-46.0
1627951091.4	0.0	222.0	-197.0	-14391.0	2605.0	-314.0	2696.0	0.0	17.0	-24.0
1627951091.99	0.0	228.0	-212.0	-14386.0	2611.0	-325.0	2687.0	0.0	28.0	-38.0
1627951092.83	0.0	210.0	-205.0	-14396.0	2616.0	-331.0	2679.0	0.0	23.0	-21.0
1627951093.76	0.0	203.0	-224.0	-14393.0	2619.0	-317.0	2684.0	0.0	27.0	-39.0
1627951094.62	0.0	190.0	-203.0	-14415.0	2615.0	-327.0	2689.0	0.0	28.0	-43.0
1627951095.62	0.0	235.0	-248.0	-14389.0	2597.0	-311.0	2672.0	0.0	32.0	-68.0
1627951096.13	0.0	328.0	-280.0	-14629.0	2610.0	-327.0	2675.0	0.0	51.0	-76.0
1627951096.81	0.0	188.0	-185.0	-14412.0	2617.0	-340.0	2665.0	0.0	35.0	-47.0
1627951097.55	0.0	212.0	-208.0	-14436.0	2610.0	-328.0	2671.0	0.0	51.0	-38.0
1627951098.65	0.0	216.0	-199.0	-14388.0	2609.0	-327.0	2685.0	0.0	32.0	-20.0
1627951099.51	0.0	204.0	-184.0	-14372.0	2607.0	-327.0	2667.0	0.0	40.0	-48.0
1627951100.38	0.0	240.0	-184.0	-14446.0	2615.0	-323.0	2678.0	0.0	19.0	-49.0
1627951101.0	0.0	225.0	-205.0	-14383.0	2609.0	-327.0	2665.0	0.0	17.0	-55.0
1627951101.84	0.0	176.0	-200.0	-14355.0	2616.0	-315.0	2682.0	0.0	29.0	-29.0
1627951103.02	0.0	255.0	-186.0	-14442.0	2620.0	-320.0	2666.0	0.0	25.0	-40.0
1627951103.75	0.0	204.0	-218.0	-14362.0	2612.0	-326.0	2687.0	0.0	37.0	-44.0
1627951104.76	0.0	225.0	-221.0	-14396.0	2612.0	-329.0	2697.0	0.0	35.0	-52.0
1627951105.76	0.0	203.0	-201.0	-14319.0	2606.0	-320.0	2695.0	0.0	30.0	-47.0
1627951106.67	0.0	232.0	-187.0	-14438.0	2611.0	-318.0	2679.0	0.0	30.0	-49.0
1627951107.64	0.0	215.0	-220.0	-14417.0	2614.0	-321.0	2681.0	0.0	25.0	-49.0
1627951108.27	0.0	252.0	-211.0	-14394.0	2619.0	-325.0	2676.0	0.0	35.0	-34.0
1627951108.97	0.0	230.0	-215.0	-14426.0	2614.0	-327.0	2671.0	0.0	27.0	-55.0
1627951109.7	0.0	206.0	-207.0	-14352.0	2614.0	-323.0	2681.0	0.0	31.0	-38.0
